Event,Dist,Baz,Depth,P,pP,PP,PPP,S,sS,SS,SSS,ScS,SKS,Pdiff1,Pdiff2,PcP1,PcP2,sigP,sigpP,sigPP,sigPPP,sigS,sigsS,sigSS,sigSSS,sigScS,sigSKS,sigPdiff1,sigPdiff2,sigPcP1,sigPcP2
S0167b,72.03,nan,31.2,0,nan,37,nan,414.5,nan,nan,468,nan,nan,nan,nan,nan,nan,2,nan,3,nan,2,nan,nan,3,nan,nan,nan,nan,nan,nan
S0173a,31.15,91,28.7,0,11.1,nan,nan,174.8,184.8,197.9,nan,515,nan,nan,nan,nan,nan,3,3,nan,nan,2,3,2,nan,5,nan,nan,nan,nan,nan
S0183a,60,73,31.2,0,nan,24.5,43.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,nan,4,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
S0185a,62,nan,37.3,0,nan,nan,nan,360.2,379.5,nan,412.5,nan,nan,nan,nan,nan,nan,3,nan,nan,nan,2,4,nan,2,nan,nan,nan,nan,nan,nan
S0235b,30.12,74,31.25,0,nan,17.4,31.03,166,178.7,193.1,nan,512,nan,nan,nan,nan,nan,2,nan,2,5,3,3,3,nan,8,nan,nan,nan,nan,nan
S0325a,42.6,nan,36.67,0,11.1,nan,nan,230.7,nan,260.7,281,nan,nan,nan,nan,nan,nan,2,3,nan,nan,3,nan,4,5,nan,nan,nan,nan,nan,nan
S0407a,28.44,nan,25,0,nan,17.8,33,172.2,183.3,196.6,nan,nan,nan,nan,nan,nan,nan,3,nan,5,5,2,3,5,nan,nan,nan,nan,nan,nan,nan
S0409d,28.53,nan,29.8,0,nan,nan,nan,162.5,nan,184.9,207.71,nan,nan,nan,nan,nan,nan,4,nan,nan,nan,3,nan,4,7,nan,nan,nan,nan,nan,nan
S0484b,30.76,nan,26.5,0,nan,18.1,nan,170.2,184,196.8,nan,nan,nan,nan,nan,nan,nan,3,nan,nan,nan,1,3,3,nan,nan,nan,nan,nan,nan,nan
S0784a,30.72,90,23.95,0,nan,15.2,29.5,173.5,182.2,196.9,221.9,nan,nan,nan,nan,nan,nan,5,nan,4,5,2,2,5,5,nan,nan,nan,nan,nan,nan
S0802a,32.6,62,31.2,0,nan,17.3,nan,176.6,nan,201.5,222.1,nan,nan,nan,nan,nan,nan,5,nan,5,nan,5,nan,2,5,nan,nan,nan,nan,nan,nan
S0809a,31.5,nan,31.2,0,nan,15.5,29.3,175,nan,197.5,nan,nan,nan,nan,nan,nan,nan,2,nan,2,5,1,nan,3,5,nan,nan,nan,nan,nan,nan
S0820a,30.13,101,28.62,0,nan,15.7,nan,176.5,186.2,201.4,nan,nan,nan,nan,nan,nan,nan,3,nan,2,nan,2,3,5,nan,nan,nan,nan,nan,nan,nan
S0864a,29.79,90,25.7,0,nan,18,nan,169,181.2,194,216.1,505,nan,nan,nan,nan,nan,5,nan,nan,nan,1,2,2,5,8,nan,nan,nan,nan,nan
S1000a,125.9,nan,1,nan,nan,0,nan,nan,nan,751.7,nan,nan,338.3,nan,-177,nan,nan,nan,nan,5,nan,nan,nan,5,nan,nan,8,0.2,1,nan,nan
S0976a,145.5,nan,50,nan,nan,0,nan,nan,nan,853.2,nan,nan,310,nan,nan,nan,nan,nan,nan,5,nan,nan,nan,20,nan,nan,12,nan,nan,nan,nan
S1094b,58.5,nan,1,0,nan,nan,nan,342.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,20,nan,nan,nan,nan,nan,nan,nan,nan,nan
